


This matrix shows how much power is pulled by each component
from different power supply.
Unit: (W)
Power Calculator Matrix Debug Table : Power_Matrix_For_Power

Supply\Blocks,Logic Block,Clocks,I/O,DSP,PLL,Block RAM,DDRDLL,DQS,DLLDEL,Other,Total,
Vcc,0.010051,0.000950,0.001875,0.001280,0.000488,0.000808,0.000026,0.000060,0.000031,0.004552,0.020121,
Vccaux,0.000000,0.000000,0.013551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015937,0.029488,
Vccio 3.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccio 2.5,0.000000,0.000000,0.031451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031451,
Vccio 1.8,0.000000,0.000000,0.005306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005306,
Vccio 1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccio 1.35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccio 1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vcchtx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vcchrx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vcca,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccauxa,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Total,0.010051,0.000950,0.052183,0.001280,0.000488,0.000808,0.000026,0.000060,0.000031,0.020489,0.086366,





This matrix shows how much current is pulled by each component
from different power supply.
Unit : A
Power Calculator Matrix Debug Table : Power_Matrix_For_Current

Supply\Blocks,Logic Block,Clocks,I/O,DSP,PLL,Block RAM,DDRDLL,DQS,DLLDEL,Other,Total,
Vcc,0.009137,0.000864,0.001705,0.001164,0.000443,0.000734,0.000024,0.000054,0.000028,0.004138,0.018291,
Vccaux,0.000000,0.000000,0.005420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006375,0.011795,
Vccio 3.3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccio 2.5,0.000000,0.000000,0.012580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012580,
Vccio 1.8,0.000000,0.000000,0.002948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002948,
Vccio 1.5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccio 1.35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccio 1.2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vcchtx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vcchrx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vcca,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Vccauxa,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Total,0.009137,0.000864,0.022653,0.001164,0.000443,0.000734,0.000024,0.000054,0.000028,0.010513,0.045614,



